146||15|11||2019-05-25T01:32:20.439
152||151|0||2019-05-25T02:11:45.783
158||151|1||2019-05-25T02:54:25.256
16||15|0||2019-05-10T23:25:06.665
165||151|2||2019-05-26T01:27:56.881
169||151|3||2019-05-26T02:47:12.243
175||151|4||2019-05-26T03:21:49.127
181||151|5||2019-06-01T00:01:06.719
186||151|6||2019-06-01T00:33:12.556
192||151|7||2019-06-01T00:52:26.491
22||15|1||2019-05-11T00:26:13.844
27||15|2||2019-05-11T00:50:58.281
31||15|3||2019-05-11T01:21:10.678
36||15|4||2019-05-11T01:48:16.279
41||15|5||2019-05-11T02:26:04.961
47||15|6||2019-05-17T23:15:54.673
52||15|7||2019-05-17T23:47:44.392
58||15|8||2019-05-18T00:46:12.175
64||15|9||2019-05-18T01:01:14.604
68||15|10||2019-05-18T01:26:26.642
